Gene Systematic Name,Gene Official Symbol,Gene Synonyms,Organism
YDL229W,SSB1,YG101|Hsp70 family ATPase SSB1|L000002073|L000002508,Saccharomyces cerevisiae (S288c)
YNL209W,SSB2,YG103|Hsp70 family ATPase SSB2|L000002715,Saccharomyces cerevisiae (S288c)
YOR370C,MRS6,MSI4|L000001182|L000001194,Saccharomyces cerevisiae (S288c)
YFL005W,SEC4,SRO6|Rab family GTPase SEC4|L000001830,Saccharomyces cerevisiae (S288c)
YNR044W,AGA1,L000000061,Saccharomyces cerevisiae (S288c)
YCR089W,FIG2,L000003312,Saccharomyces cerevisiae (S288c)
YLR193C,UPS1,-,Saccharomyces cerevisiae (S288c)
YLR168C,UPS2,AIM30|GEP1|MSF1|MSF1,Saccharomyces cerevisiae (S288c)
YLR399C,BDF1,chromatin-binding protein BDF1|L000000165,Saccharomyces cerevisiae (S288c)
YKL064W,MNR2,putative Mg(2+) transporter MNR2|L000003203,Saccharomyces cerevisiae (S288c)
YOL130W,ALR1,SWC3|Mg(2+) transporter ALR1|L000002887,Saccharomyces cerevisiae (S288c)
YGR192C,TDH3,GLD1|HSP35|HSP36|SSS2|glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) TDH3|GAPDH|GPD|L000002274,Saccharomyces cerevisiae (S288c)
YAL026C,DRS2,FUN38|SWA3|aminophospholipid-translocating P4-type ATPase DRS2|L000000526,Saccharomyces cerevisiae (S288c)
YHR108W,GGA2,S000007494,Saccharomyces cerevisiae (S288c)
YKL135C,APL2,L000000094,Saccharomyces cerevisiae (S288c)
YLR437C,DIF1,-,Saccharomyces cerevisiae (S288c)
YOR209C,NPT1,nicotinate phosphoribosyltransferase|L000001275,Saccharomyces cerevisiae (S288c)
YNL129W,NRK1,ribosylnicotinamide kinase|S000029011|S000029327,Saccharomyces cerevisiae (S288c)
YDR400W,URH1,trifunctional uridine nucleosidase/nicotinamide riboside hydrolase/nicotinic acid riboside hydrolase|S000007492,Saccharomyces cerevisiae (S288c)
YBL085W,BOI1,BOB1|GIN7|L000000191|L000000703,Saccharomyces cerevisiae (S288c)
